what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774842872039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842876830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842884499
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774842886323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842889257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842890848
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1774842891299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842892836
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774842893962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842894283
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1774842894288
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1774842896464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842898107
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774842899204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842903079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842904034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842926435
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774842929224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842931756
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1774842933842
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774842936240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774842936566
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1774842936573
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1774842938731
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774842941501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843021173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843030371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843030543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843064428
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843071979
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843072095
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843074981
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843078157
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.popupmenu.removefrombuild",1774843080632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843081321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843082242
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.popupmenu.addtobuild",1774843084757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843085424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843089439
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843098531
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1774843103734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1774843106905
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843110188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843115881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843119850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843123808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843125490
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1774843125953
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843128113
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1774843128416
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1774843130656
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843133463
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843138129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843140659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1774843141328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843141957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843148326
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843149080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1774843152438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843152791
