what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043488606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043590009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043590307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043604881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043605377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043606325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043606741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043912569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776043913978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044104706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044109210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044110099
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1776044111298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044115976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044116561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1776044116571
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1776044117319
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1776044117348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044121290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044129590
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1776044129994
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1776044130018
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1776044130018
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1776044130019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044130070
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776044130204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044130288
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1776044130296
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776044130310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044130392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776044136881
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1776044137661
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.popupmenu.removefrombuild",1776044151927
