what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051677875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051695045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051696228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051781715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051781947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051816505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051817000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051848088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051848757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051927518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051928008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051937152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051937721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051942055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051942472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051990205
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776051990860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1776051994528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776051994881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776052380797
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1776052381512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776052383822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776052385346
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1776052385775
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1776052387672
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1776052387935
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1776052390082
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1776052392792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776052690611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776052887502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1776052893328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776052922958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776053297378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776054077649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776054273142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776054273868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776054275412
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1776054275516
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1776054275605
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1776054275847
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1776054275847
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1776054275848
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1776054276859
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1776054276866
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1776054276866
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1776054276866
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1776054276866
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1776054276866
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1776054276884
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1776054276884
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1776054276884
